BUSINESS_YEAR,ANNUAL_INTEREST,BUSINESS_MONTH,MONTHLY_INTEREST,PERCENTAGE_OF_ANNUAL,SALES_COUNT
2000,16838473243.2403,1,1421475290.2547,8.441,31596
2000,16838473243.2403,2,1333579116.7438,7.919,29648
2000,16838473243.2403,3,1441003187.8566,8.557,31996
2000,16838473243.2403,4,1373391872.1403,8.156,30507
2000,16838473243.2403,5,1418454314.0478,8.423,31473
2000,16838473243.2403,6,1377806953.4329,8.182,30563
2000,16838473243.2403,7,1430259722.308,8.493,31805
2000,16838473243.2403,8,1433968968.4676,8.516,31805
2000,16838473243.2403,9,1382627301.8812,8.211,30659
2000,16838473243.2403,10,1410851870.215,8.378,31531
2000,16838473243.2403,11,1369272155.6003,8.131,30455
2000,16838473243.2403,12,1445782490.2921,8.586,32142
2001,16845983831.4135,1,1412658036.8528,8.385,31557
2001,16845983831.4135,2,1290754639.991,7.662,28700
2001,16845983831.4135,3,1430132006.6903,8.489,31632
2001,16845983831.4135,4,1377148829.8833,8.174,30510
2001,16845983831.4135,5,1430659346.9929,8.492,31852
2001,16845983831.4135,6,1373244993.6208,8.151,30463
2001,16845983831.4135,7,1436036946.1088,8.524,31929
2001,16845983831.4135,8,1439662881.5658,8.546,31969
2001,16845983831.4135,9,1395611567.4603,8.284,30945
2001,16845983831.4135,10,1431505310.8236,8.497,31712
2001,16845983831.4135,11,1385664025.7418,8.225,30758
2001,16845983831.4135,12,1442905245.6821,8.565,31937
2002,16829028017.4453,1,1445280842.788,8.588,31990
2002,16829028017.4453,2,1279948509.4781,7.605,28498
2002,16829028017.4453,3,1422256365.4715,8.451,31647
2002,16829028017.4453,4,1389181828.2641,8.254,30785
2002,16829028017.4453,5,1432968953.926,8.514,31727
2002,16829028017.4453,6,1388708216.7944,8.251,30924
2002,16829028017.4453,7,1430694981.6519,8.501,31753
2002,16829028017.4453,8,1427921657.909,8.484,31619
2002,16829028017.4453,9,1376159171.4129,8.177,30630
2002,16829028017.4453,10,1412767535.0951,8.394,31463
2002,16829028017.4453,11,1396636272.5415,8.298,30907
2002,16829028017.4453,12,1426503682.1128,8.476,31696
2003,16865032222.4711,1,1432560140.2367,8.494,31766
2003,16865032222.4711,2,1292300649.4213,7.662,28664
2003,16865032222.4711,3,1414851194.4213,8.389,31533
2003,16865032222.4711,4,1380720305.9485,8.186,30662
2003,16865032222.4711,5,1443432138.5443,8.558,32164
2003,16865032222.4711,6,1393827708.2141,8.264,30868
2003,16865032222.4711,7,1431730292.7999,8.489,31713
2003,16865032222.4711,8,1429515413.0146,8.476,31843
2003,16865032222.4711,9,1390316743.7007,8.243,30747
2003,16865032222.4711,10,1425434454.9556,8.452,31603
2003,16865032222.4711,11,1380176063.7132,8.183,30577
2003,16865032222.4711,12,1450167117.5009,8.598,32107
2004,16836628502.0318,1,1424695318.6011,8.461,31608
2004,16836628502.0318,2,1332429479.3004,7.913,29633
2004,16836628502.0318,3,1420663095.5754,8.437,31438
2004,16836628502.0318,4,1374543675.5711,8.164,30552
2004,16836628502.0318,5,1413284600.8399,8.394,31444
2004,16836628502.0318,6,1386554651.5583,8.235,30732
2004,16836628502.0318,7,1429176149.0458,8.488,31800
2004,16836628502.0318,8,1436247359.2084,8.53,31804
2004,16836628502.0318,9,1375370119.2255,8.168,30551
2004,16836628502.0318,10,1416702042.8462,8.414,31594
2004,16836628502.0318,11,1386564976.6853,8.235,30604
2004,16836628502.0318,12,1440397033.5744,8.555,31876
2005,16830155717.4937,1,1418605339.7906,8.428,31651
2005,16830155717.4937,2,1297358415.3339,7.708,28765
2005,16830155717.4937,3,1423409826.7877,8.457,31617
2005,16830155717.4937,4,1386219434.2435,8.236,30876
2005,16830155717.4937,5,1440655128.6125,8.559,31943
2005,16830155717.4937,6,1378923162.6301,8.193,30599
2005,16830155717.4937,7,1425479522.5619,8.469,31603
2005,16830155717.4937,8,1428089726.0311,8.485,31783
2005,16830155717.4937,9,1392583440.5702,8.274,30801
2005,16830155717.4937,10,1423004096.2562,8.455,31608
2005,16830155717.4937,11,1382139953.3996,8.212,30849
2005,16830155717.4937,12,1433687671.2764,8.518,31846
2006,16844242107.7005,1,1418830779.6701,8.423,31545
2006,16844242107.7005,2,1307361499.2394,7.761,28888
2006,16844242107.7005,3,1452214868.8088,8.621,32183
2006,16844242107.7005,4,1400071633.045,8.311,31083
2006,16844242107.7005,5,1430445028.1331,8.492,31794
2006,16844242107.7005,6,1378546700.8916,8.184,30744
2006,16844242107.7005,7,1420317584.1384,8.432,31571
2006,16844242107.7005,8,1429624333.1056,8.487,31780
2006,16844242107.7005,9,1380787385.3383,8.197,30606
2006,16844242107.7005,10,1417692939.901,8.416,31391
2006,16844242107.7005,11,1388047306.0918,8.24,30728
2006,16844242107.7005,12,1420302049.3374,8.431,31680
2007,16807386888.8937,1,1432365715.3769,8.522,31781
2007,16807386888.8937,2,1291423372.3967,7.683,28644
2007,16807386888.8937,3,1422608857.0639,8.464,31579
2007,16807386888.8937,4,1388979248.4826,8.264,30881
2007,16807386888.8937,5,1416993962.8428,8.43,31554
2007,16807386888.8937,6,1380469087.8634,8.213,30626
2007,16807386888.8937,7,1440243052.092,8.569,32016
2007,16807386888.8937,8,1420433478.7498,8.451,31576
2007,16807386888.8937,9,1374166816.537,8.175,30637
2007,16807386888.8937,10,1430354849.3303,8.51,31798
2007,16807386888.8937,11,1376361446.2069,8.189,30525
2007,16807386888.8937,12,1432987001.9514,8.525,31886
2008,16844388642.1002,1,1433597679.5899,8.51,31973
2008,16844388642.1002,2,1330466090.6823,7.898,29546
2008,16844388642.1002,3,1433288925.824,8.508,31870
2008,16844388642.1002,4,1379491719.254,8.189,30668
2008,16844388642.1002,5,1427885287.9565,8.476,31702
2008,16844388642.1002,6,1378174019.2381,8.181,30654
2008,16844388642.1002,7,1430520262.7286,8.492,31692
2008,16844388642.1002,8,1421160925.6723,8.436,31601
2008,16844388642.1002,9,1374852949.2093,8.162,30543
2008,16844388642.1002,10,1406651406.2637,8.35,31267
2008,16844388642.1002,11,1384546636.5217,8.219,30794
2008,16844388642.1002,12,1443752739.1598,8.571,32022
2009,16755013079.0392,1,1420346138.8714,8.477,31662
2009,16755013079.0392,2,1297266862.2464,7.742,28880
2009,16755013079.0392,3,1428657080.266,8.526,31841
2009,16755013079.0392,4,1374822002.3465,8.205,30543
2009,16755013079.0392,5,1419675537.5485,8.473,31552
2009,16755013079.0392,6,1370087426.4123,8.177,30539
2009,16755013079.0392,7,1429606790.1069,8.532,31860
2009,16755013079.0392,8,1401023142.8683,8.361,31193
2009,16755013079.0392,9,1386801289.1392,8.276,30856
2009,16755013079.0392,10,1402920462.6192,8.373,31338
2009,16755013079.0392,11,1385723597.3389,8.27,30788
2009,16755013079.0392,12,1438082749.2756,8.582,31979
2010,16807050123.9354,1,1425694719.0684,8.482,31665
2010,16807050123.9354,2,1289120234.0317,7.67,28588
2010,16807050123.9354,3,1415082491.7643,8.419,31467
2010,16807050123.9354,4,1385429862.7073,8.243,30897
2010,16807050123.9354,5,1432591207.7854,8.523,31836
2010,16807050123.9354,6,1373664646.1488,8.173,30449
2010,16807050123.9354,7,1437014138.2664,8.55,31910
2010,16807050123.9354,8,1432465941.0247,8.523,31809
2010,16807050123.9354,9,1388537559.6871,8.261,30922
2010,16807050123.9354,10,1423144314.6336,8.467,31579
2010,16807050123.9354,11,1379120986.0663,8.205,30605
2010,16807050123.9354,12,1425184022.7514,8.479,31659
2011,16785234221.6658,1,1422386925.252,8.474,31605
2011,16785234221.6658,2,1286727684.1319,7.665,28657
2011,16785234221.6658,3,1421129737.8913,8.466,31653
2011,16785234221.6658,4,1380247141.2666,8.222,30660
2011,16785234221.6658,5,1422745318.6823,8.476,31640
2011,16785234221.6658,6,1374975189.2522,8.191,30511
2011,16785234221.6658,7,1426774484.638,8.5,31741
2011,16785234221.6658,8,1439107892.8298,8.573,31914
2011,16785234221.6658,9,1377187141.3507,8.204,30602
2011,16785234221.6658,10,1425250651.1487,8.491,31784
2011,16785234221.6658,11,1388347785.3881,8.271,30843
2011,16785234221.6658,12,1420354269.8342,8.461,31630
2012,16815568341.1185,1,1411716047.017,8.395,31422
2012,16815568341.1185,2,1316391749.4926,7.828,29301
2012,16815568341.1185,3,1435688769.1223,8.537,31881
2012,16815568341.1185,4,1370398750.0139,8.149,30268
2012,16815568341.1185,5,1426033177.4692,8.48,31688
2012,16815568341.1185,6,1386516180.7075,8.245,30662
2012,16815568341.1185,7,1442548432.8259,8.578,31970
2012,16815568341.1185,8,1423523851.2421,8.465,31759
2012,16815568341.1185,9,1376341724.1478,8.184,30621
2012,16815568341.1185,10,1419557425.372,8.441,31568
2012,16815568341.1185,11,1389008947.9455,8.26,30921
2012,16815568341.1185,12,1417843285.7627,8.431,31584
2013,16770253608.2096,1,1412064754.5145,8.42,31491
2013,16770253608.2096,2,1295651374.3033,7.725,28729
2013,16770253608.2096,3,1441741887.2659,8.597,32068
2013,16770253608.2096,4,1369461880.8968,8.166,30417
2013,16770253608.2096,5,1425385085.5482,8.499,31790
2013,16770253608.2096,6,1369117870.3177,8.163,30518
2013,16770253608.2096,7,1429080263.5832,8.521,31775
2013,16770253608.2096,8,1428100121.8386,8.515,31746
2013,16770253608.2096,9,1379458704.5179,8.225,30529
2013,16770253608.2096,10,1425464678.8515,8.499,31575
2013,16770253608.2096,11,1367245117.638,8.152,30415
2013,16770253608.2096,12,1427481868.934,8.511,31585
2014,16807901069.0151,1,1430855017.9362,8.512,31687
2014,16807901069.0151,2,1284823686.8642,7.644,28465
2014,16807901069.0151,3,1419963573.5629,8.448,31569
2014,16807901069.0151,4,1377538299.2499,8.195,30810
2014,16807901069.0151,5,1419280529.272,8.444,31548
2014,16807901069.0151,6,1392937429.5434,8.287,30918
2014,16807901069.0151,7,1434901103.2354,8.537,31891
2014,16807901069.0151,8,1412242457.1648,8.402,31510
2014,16807901069.0151,9,1386386969.3557,8.248,30799
2014,16807901069.0151,10,1442600022.0958,8.582,32091
2014,16807901069.0151,11,1388114413.5328,8.258,30739
2014,16807901069.0151,12,1418257567.202,8.438,31489
2015,16753607422.8271,1,1410952960.0063,8.421,31284
2015,16753607422.8271,2,1295864886.5716,7.734,28835
2015,16753607422.8271,3,1414843085.5579,8.445,31431
2015,16753607422.8271,4,1380531198.7898,8.24,30671
2015,16753607422.8271,5,1422416821.2016,8.49,31566
2015,16753607422.8271,6,1371821354.0073,8.188,30522
2015,16753607422.8271,7,1442748386.6476,8.611,32041
2015,16753607422.8271,8,1424628719.5263,8.503,31712
2015,16753607422.8271,9,1390589647.8594,8.3,30773
2015,16753607422.8271,10,1414891790.7151,8.445,31571
2015,16753607422.8271,11,1362700923.6016,8.133,30313
2015,16753607422.8271,12,1421617648.3426,8.485,31585
2016,16813748950.4174,1,1434382210.1753,8.531,31837
2016,16813748950.4174,2,1330154953.9682,7.911,29594
2016,16813748950.4174,3,1424909042.5682,8.474,31685
2016,16813748950.4174,4,1389871512.5168,8.266,30980
2016,16813748950.4174,5,1412512863.4605,8.4,31352
2016,16813748950.4174,6,1381061513.2057,8.213,30570
2016,16813748950.4174,7,1431656949.8966,8.514,31804
2016,16813748950.4174,8,1425515031.8347,8.478,31662
2016,16813748950.4174,9,1378348633.0958,8.197,30696
2016,16813748950.4174,10,1413734827.8652,8.408,31413
2016,16813748950.4174,11,1375809916.026,8.182,30580
2016,16813748950.4174,12,1415791495.8044,8.42,31466
2017,16801674818.026,1,1420204827.8447,8.4527,31595
2017,16801674818.026,2,1276555167.6716,7.5977,28341
2017,16801674818.026,3,1418956514.0137,8.4453,31677
2017,16801674818.026,4,1376329658.598,8.1916,30697
2017,16801674818.026,5,1442198914.9208,8.5836,32060
2017,16801674818.026,6,1397152037.7117,8.3155,30972
2017,16801674818.026,7,1418654957.4687,8.4435,31538
2017,16801674818.026,8,1435599159.9384,8.5443,31791
2017,16801674818.026,9,1368961925.6296,8.1477,30449
2017,16801674818.026,10,1426275195.6974,8.4888,31636
2017,16801674818.026,11,1382918225.187,8.2308,30706
2017,16801674818.026,12,1437868233.3444,8.5578,32106
2018,12371506554.5778,1,1418972715.5535,11.469,31590
2018,12371506554.5778,2,1284713922.7598,10.384,28554
2018,12371506554.5778,3,1410139897.3592,11.398,31403
2018,12371506554.5778,4,1394339165.3418,11.27,30907
2018,12371506554.5778,5,1428053370.925,11.543,31715
2018,12371506554.5778,6,1368698310.2312,11.063,30318
2018,12371506554.5778,7,1421052371.4226,11.486,31600
2018,12371506554.5778,8,1436265689.028,11.609,31821
2018,12371506554.5778,9,1209271111.9567,9.774,26886
